"","points.1","points.2"
"B.US..91C22_D0_D8_2_c_S64.MH632785",104.883290016507,0.972827360930801
"C.MW.2012.CH1754.3.d0609.ipe021_15.51.MF501888",-176.026800963289,56.8629531369249
"C.MW.2009.CH1012_3_d0246_ipe017_30_33.MG899164",-169.686289331317,43.4788030122305
"B.US.2003.04013321_2_2D9.GU330570",115.642816938754,10.1952997915764
"B.US.2002.04013211_3_B19.GU330350",132.693779010226,3.79996072998173
"B.US.2012.T8250_2H11.KU901915",119.606476476451,12.5177254985496
"A1.KE..MI206_W0M_ENV_E1.DQ208463",-107.191400109001,-80.7716732507839
"B.US.2007.CH0040_3_d0197_ipe032_2_03.MG900201",125.409616027211,-1.50491565721315
"C.IN.2000.DEMC00IN005.KP109480",-175.980957421845,42.3950095398061
"B.CN..BJ171.13.MN617379",107.824746333511,10.7161173493417
"01_AE.TH.2000.3025B01.C5.KJ952468",-123.666377025899,-181.815617610293
"B.US..5125_CD45RAneg_p1_L19_S75.ON662639",111.318017723688,-8.83119503644665
"B.US.2003.04013240_8_A10.GU330430",116.729096620348,2.3225071528644
"01C.CN.2018.GZ18021_10.MK371104",-141.53656603497,-7.96633138001909
"D.UG.1999.E13613M4.JQ715400",55.7356628638552,-19.8120093098377
"B.US.2015.2E5W120717Pl3.E2_S3.KX028668",115.515871876923,-11.9599174648902
"B.US.2019.5111WK26PL9O7.OM204243",114.685028928192,15.7989267385882
"B.US.1993.102149i.2.9.MH013053",117.671264785325,18.6611329333686
"B.US.1990.100711m.4.4.MH012801",113.947680257023,1.79379705791259
"B.US.1998.Z03_B6.EU577434",121.706552555909,3.16246781216395
"B.TT.1994.SC31_4A2.EU576900",101.738543448105,6.40329241271785
"A1.RW.2008.R3103M_175079_7_TF.MT942896",-109.311740409377,-73.829134157903
"D.UG..DM1_16.EF575355",63.1558354724732,-8.35931543042135
"B.US.2013.Donor8.C4.p6d10.KY748647",126.454820416711,13.5577281501405
"B.KR.2008.KR021.MT021909",107.796312770075,-7.29172395796861
"B.US.2016.00773PH356w5_23half1.MT307605",124.240831671208,5.40502210761821
"B.AU.2000.P5SCRPBMC08.OK533011",120.219288482297,3.93274293844593
"B.US.2009.1677DNAPBMC02DEC2009.P5P23.KM081998",109.756544659111,11.2744259216275
"C.MW.2009.CH1012_3_d0074_ipe017_80_82.MG899038",-172.005678502671,46.2902256610722
"BF1.BR.2010.10BR_RJ041.KJ849826",60.1436701728116,-9.83608896937881
"B.GB.2008.MM33.17.SGS.2.MT794520",112.932517892969,6.49545361712373
"B.US.2006.CH0040_3_d0148_ipe032_2_32.MG900184",125.975002943618,-1.25764276356567
"B.US.2008.700010501_C7_S.HM638533",115.509685954365,3.35476525108397
"C.MW.2005.3012_3_D4.KC862687",-167.072398140062,48.2563266021467
"B.US.2004.USPI71101EI68y04071pcWG2B5.JN024247",116.350553225878,17.1121969777304
"B.US.2016.9244_wk12_9_N20.MW061185",109.841753551711,21.111296041651
"B...3BNC117_VRC010615940d1.MN871134",118.945774422673,10.2419235411568
"B.KR.1992.92KYJ5.MN043597",117.609877309573,5.51758522592684
"B.US.1985.CC1_85_start_cl13.JN176562",118.76928010516,7.17207381640286
"C.ZA.2007.75_F9.KC863090",-174.693355854634,46.1528406202038
"C.ZA.2016.079_PBMC_SGA13.OP121301",-166.983909139253,40.9167595877066
"B.US.2005.N6_WEEK_20.FJ653107",122.943783810542,9.05419236457688
"B.US.1999.CA110_FL56_36_51.JN786849",110.782381370515,1.41734301975486
"C.MW.2008.CH0848.3.d0032.15.12.KX217000",-167.122616991981,82.5558388554483
"B.US.2016.9252_wk2_2_M23.MW061630",111.232063535107,28.1346343185759
"01_AE.TH.2011.40512v14_04.MN792543",-118.052958080597,-177.407814009575
"B.US.2016.B207_SC_S20.MG196565",122.585779520818,21.3701369497303
"B.GB.2003.MM33.02.SGS.27.MT794321",116.57955150791,7.72641481577335
"A1.UG.1997.368FIc01.EU853070",-98.8966322307856,-90.6118267257676
"B.US.2016.602_W23_2P_19.MH262913",119.15180287879,13.5544479250465
"B.GB.2004.MM33.08.1D4.MT794206",118.238383996942,7.65765030335764
"C.MW.2012.CH0694_3_d1491_ipe018_30_30.MG898765",-168.476004114064,53.4513848318103
"B.US.2016.9252_pre_D17.MH575672",105.587631316524,30.6542749047002
"B.CN.2007.BJOX020000.e31.KM217954",103.601452182733,-3.47927988097905
"A1.UG.2007.0086_C18.JX877541",-110.032979581283,-91.3090471257895
"B.US.2005.N8_DAY_1.FJ653197",118.68077000811,-3.74868118129988
"B.US.2000.RHPA_B16.EU576747",112.778320886488,18.2979320305648
"A6.RU.2002.02_RU_SP_H408_IV_B07.GU481192",-99.8562892178455,-82.9393055764023
"C.ZA.2005.CHV0006082_CAP206.1.02F6.FJ443507",-179.953890204429,50.8579750248142
"B.US..708.w009.p.H10_S81.KX984771",106.093018587977,18.1488438184644
"01_AE.TH.2015.2548522P000FL_Si.MK272424",-127.37970160758,-169.603205345855
"B.US.2011.16CB1_22E5.KF526176",105.064929613293,0.922515082425752
"B.US..605_CD4_p1_K18_S322.ON663551",111.610113638042,27.8774916790672
"D.TZ.2012.30156v23_ENV19.OM825262",50.6986760578758,-4.61883849856963
"C.MW.2010.CH0848.3.d0836.10.25.KX217649",-167.099345624443,83.0743967480319
"C.ZA.2007.CH0152_3_d0026_ipe026_20_12.MG900614",-173.353105224145,29.8289319594314
"B.US.1996.6244_13_B7.EU575539",128.87583916934,-6.84051949130304
"01BC.CN.2020.HB010047.OM025084",-157.073878236243,31.1243706473245
"B.GB.2002.MM23.07.SGS.23.MT794169",110.381322000451,2.63561354811452
"B.US.2010.145JL10P6H3.MK384027",121.280009744754,7.5769260234092
"B.TT.1993.SC13_TD7.HQ217626",109.71736959043,8.87030899244616
"A.CD.1987.P4039.MH705157",-99.8806272926121,-88.9541991169316
"B.US.1996.0782m.38.MT853170",110.416326804153,5.28683360900164
"C.BR.2010.DEMC10BR024.KU749392",-159.614764718803,9.77874968374437
"B.TT.2000.SC46C_A5.HQ217663",116.562422024261,-3.74203385401422
"B.US.2006.GETO5098_B3.HQ217264",107.147288292686,24.2664740996709
"01_AE.TH.1999.3022A02.C4.KJ952403",-131.409807460658,-191.890824927479
"B.AU.2000.P8_GAG_33.OK532393",108.815201558329,7.79053005592348
"C.MW.2009.4031_Plasma_Visit1_amplicon3.KC187695",-160.758354891187,62.8283984137527
"C.MW.2005.3041_10.KC862913",-174.274191117483,49.8148244474983
"B.US.1998.1059_08_B3.EU578892",121.611797438577,5.59264212364641
"CD.MW.2008.CH492.PL.031108.BE.9.KY112308",-166.009363195502,65.1228431529039
"B.US.1992.1039m.2.MT861732",126.135755984998,12.910208341522
"B.US.2007.741BPJL2007P7F8.MK385395",141.241685294041,4.60295525853676
"01_AE.CN.2012.250_H5.MH672922",-125.612243136466,-196.599076667529
"C.MW.2012.CH0694_3_d1491_ipe018_30_53.MG898776",-164.12582237765,57.3491985165595
"B.SG.2009.HM151.KY213744",94.9449975653831,-9.10620492905148
"C.MW.2008.3902bmL_F11.HM070658",-160.596967433193,50.6757966503358
"B.US..605_CD4_p2_H19_S21.ON663619",111.610113638043,27.8774916790672
"B.DE.1986.D117III_child.AF490512",125.19211030623,7.59341852491449
"01_AE.TH.2006.AA035a06R.JX447111",-130.023514838041,-186.001595960193
"C.ZA.2006.CAP206_3100_033wpi_0B13.MK205849",-180.590809052382,52.170174446188
"B.US.2008.DONOR5.223.30.P3J2.MN515609",116.210549234736,-2.2847483550946
"B.US.2006.CH77S_E1.FJ496009",112.132281402882,7.44846654671697
"B.US.2019.5203WK34J8.OM206280",129.566570385171,6.69638934034982
"B.US.2004.CAAN_D48.EU576335",113.416671266026,16.5610734522252
"C.ZA.2007.CHV0008389_704010056_2_A6.FJ443714",-171.897834675435,54.9256653971393
"B.US.2004.DIGA3757_A2.HQ217168",85.4159382432015,-8.48897453762029
"G.ES.2008.X2470_F8_12.GQ222685",-104.348411703142,-91.1432159739709
"C.ZM.2008.ZM634F_11Jun2008_1Y_1_E.MT195340",-168.84813035134,61.0413394457609
"B.CH..HK_JIDLNBL_S295.MT155359",114.255748179173,-12.317325152161
"B.US.2019.5111WK26PL2B14.OM204099",112.708250290963,20.1965651682572
"B.US.2016.9242_wk2_5_M17.MW060692",100.099811822854,9.19715977975701
"A1.KE.2012.20509v18_env12.OM824898",-109.830750544797,-86.4645916578575
"B.US.2009.1906CDNAPBMC21OCT2009.P8K11.KM082136",112.754185520345,-1.17347484154282
"B.NL.1986.H4_007_1C10.EU744101",127.212282861283,2.68512201863541
"C.ZA.2013.102_TF_SGA1.OP121397",-174.850241868558,65.8521407862249
"B.US.2016.A13.CD4T.C2.39H9.MH264411",104.805602749778,9.17438731208435
"B.DE.2016.9255_pre_I11.MH575430",104.604704621293,16.2109684052632
"B.US.2017.2302_EMDRp_12.MW754213",106.38806185626,11.9163781755972
"B.JP.2012.KB1404.OP169351",115.942005205239,-3.83400956690362
"B.US.2015.B115.2.d.P4.C2.4.10.16.g12.S84.KY113747",120.182300928245,5.00453765988781
"C.MW.2010.4059_Plasma_Visit1_amplicon15.KC186525",-168.424221466938,64.152295783944
"C.ZA..B27P_13.MK790826",-169.599905723038,73.9945625108739
"B.US.2017.2518_EMDRn_8.MW754630",130.460374976949,9.45313844187784
"C.ZA..169b9d10.GU216780",-164.26255967159,55.9688635330511
"A1CD.TZ.2011.30196v19_env20.OM825382",-77.3268353163982,-46.4789280191642
"C.ZM.2005.ZM415_200415_4.GU329439",-172.89529732849,47.2164555084177
"B.US.2004.5734_4.EU577978",116.401275231264,8.59715858016105
"C.MW.2012.CH0752_3_d1350_ipe023_3_18.MG901974",-168.078392872329,30.0348262516049
"B.US.2005.RHMI4089_A4.HQ217477",118.721426523922,15.3363911153755
"B.US.1993.1730m.15s.MT861252",117.946014492038,13.790139324309
"B.CN.2012.543025.KX693529",107.367501023496,6.60838743029807
"C.ZM..m19_051.KU200905",-169.973611507384,38.8769582038534
"B.GB.2006.MM40.12.13D1.MT794885",128.913275035934,14.6664557338595
"C.MW.2007.CH0047.w3.e7.KC148677",-170.381646500192,50.7981217504713
"B.US.2011.1853CDNAPBMC22JUN2011.P14A14.KM082076",122.607350830498,-4.69020900183784
"B.CO.2006.subject_247_day1_clone_24.HQ377380",97.4544352817014,-0.660591015518247
"B.US.2011.9071_041311_plasma_27.KM354951",103.422015037537,0.998200820942676
"C.ZA.2011.CH0152_3_d1465_ipe026_35_46.MG901238",-168.95587583997,30.3844630135813
"C.ZA.2008.503_00885_50_1.KT183058",-173.761281707048,39.812635058474
"B.US.2016.1408_TEM_7.MN467339",108.201430816422,14.8194327823139
"B.KR.2001.01OCH218706.ON567931",110.233276463716,11.3989915115265
"A6.RU.2008.08_RU_SP_K84_V_F1.GU481326",-100.034943237856,-86.6344050822129
"C.MW.2007.703010167_e6.JQ779910",-180.074716776337,69.811049184304
"B.US..5104_Enriched_p1_E18_S315.ON662466",102.012338225868,13.695009216558
"B.US.2019.5210WK2PL10A19.OM206605",103.476501811441,2.73614180676102
"A1D.DK.2017.ID109p2E2_S324.ON542621",55.2249541184019,-15.8366519752246
"C.MW.2010.CH0848.3.d0893.10.27.KX217719",-168.690679184819,85.786197560299
"B.GB.2002.MM24_d0034_ipe0027_SGA_5.MG902064",115.193198990859,1.74765213444043
"B.US.2003.RHGA1581_TA5.HQ217472",112.125433213518,12.8314171315752
"01_AE.TH.2000.3025B01.C17.KJ952463",-123.28854185782,-181.230802625204
"B.US.1999.PRB959_03.AY331296",107.484390078721,23.8501981001936
"C.MW.2009.4041_Plasma_Visit_1_amplicon17.KC186410",-164.715229962847,50.1287114752948
"B.US.2016.9247_wk2_pl4_A19.MT191072",107.594869846628,6.36665797624244
"B.US.2008.DONOR5.223.03.P1B6.MN515599",116.210549234736,-2.2847483550946
"B.US..B207_TRBC1neg_E11_S107.ON664798",127.105448975527,14.9120112582922
"C.MW.2009.703010505_w53_11.KC247611",-173.753542718563,52.9827339210098
"B.US.1993.0842i.1.44.MT861571",124.384467681964,8.39651388648323
"B.US.2018.9242_W12_3L15_S229.MN090217",99.5503870888154,12.1790128702027
"07_BC.CN.2007.BJOX011000.e09.KM217746",-165.695497827941,30.110948935145
"B.US.2013.IQA271.PBMC.SGA2.4.KR182333",109.779505348091,3.22060000066098
"B.AU.1995.C42.AF538305",115.022272516718,20.4931876780026
"B.US.2015.1HC3D0012016D3_S27.KY324173",94.9452069720214,5.32309056540483
"BF1.BR.2010.10BR_RJ104.KT427652",52.9608552606618,-18.0905300086664
"B.DE.2020.1506d217E4.MW660574",118.945774422673,10.2419235411568
"C.MW.2008.CH0752_3_d0052_ipe023_30_60.MG901366",-171.910136318549,28.5900276510494
"01_AE.TH..3126A02.D15.KJ953004",-130.16228308257,-194.667132358397
"B.US.2016.00250_PH325_W3_3HG24_BAR48_Seq1_Phase0_NumReads494.MT307384",111.297037354409,13.4868967825992
"B.US..5125_TRBV_G_p1_F20_S208.ON662931",111.318017723688,-8.83119503644666
"B.US.2003.RHGA_B8.KC312491",124.93338777048,1.32233322896083
"C.ZM.2003.ZM178F_SGA_B3.EU166365",-153.992251394919,59.391199442759
"01_AE.CN.2007.BJOX010000.e05.KM217714",-120.604976884104,-185.126815102721
"B.US.2013.2026_EM_31.KY766170",124.980198843082,-16.7010864996905
"B.US.2002.EABE4469_F2.HQ217218",104.660783162219,-4.03589030125998
"B.US.2012.00546_PH164_W2_3HG21_BAR52_Seq1_Phase0_NumReads495.MT307423",128.793951564907,19.0491195161756
"C.MW.2005.3011_2_A1.KC862654",-144.192661325156,51.22914631104
"B.DE.2016.1HD5KD0061416Pl2C10_S22.KY324602",115.787390341539,0.138253590893333
"01_AE.TH.2010.2544617P000env_S03.MF957705",-124.119833350946,-176.23699062659
"B.US..91C35_D0_3_c10_S55.MH632879",106.137559688925,16.3431446899995
